LOCATION,Year,hexp_current_USD,Total_HCF,Domestic_HCF,OECD_HCF,Non_OECD_HCF,Investment_HCF,Public_HCF,Private_HCF,Investment,Hospitals,Ambulatory,Ancillary,Administration,Preventive,Long-term,Other_roe,Other_row,Medical retailers,National_CF,population,hexp_constant_2010_USD,gdp_const,gdp_const_ppp,CO2_power_industry,CO2_transport,CO2_other_ind_combustion,CO2_non_combustion,CO2_buildings,Total_CO2_wo_non_combustion,Total_CO2_all,TFC_Mtoe
ESP,2e3,42017397706.65653,20470.438029218425,9203.422341079558,4678.780793155971,6588.23489498291,502.01874162836316,14063.834078267759,5904.585209322304,502.01874162836316,5973.976346239687,3753.3254582154004,NA,383.8766354706616,131.1409534001726,NA,40.648824560006545,NA,9685.451069704135,445417.1722721035,40567864,56429.642804152594,1149490500814.1611,1215702513030.1272,97426.7,90359.2,60576,27267.32,30211.9,278573.8,305841.12,85.49
ESP,2001,44069029959.42891,18852.699719422995,9314.797120346384,3554.728322563127,5983.174276513479,564.7971783175616,12695.296479418275,5592.606061687159,564.7971783175616,5194.605677675055,3342.214986728638,NA,340.6342650670805,106.5613987446112,NA,33.14034945759056,NA,9270.745863432461,417745.77889887575,40850412,56864.97947875948,1195482464482.6602,1264343668195.2917,90622,94438.3,64134.4,26138.79,30570.5,279765.19999999995,305903.99,89.59
ESP,2003,70838425058.22278,23165.33987958346,11092.004790514571,4359.390395326784,7713.944693742099,652.3194328761983,15717.480908584601,6795.539538122657,652.3194328761983,5679.1973838576005,3817.2678729755116,238.24692365450124,541.3307247638558,141.30352904228158,615.8309425902892,127.39251568598772,2.104902033825838,11350.345652103406,464127.3364019889,42187645,84483.52024175829,1269115166553.5542,1342217700982.3242,99262.8,101118.8,68544,28751.76,33677.4,302603,331354.76,96.03
ESP,2004,84520367898.82115,24292.60600209543,11658.099651137261,4637.396986774557,7997.109364183616,684.6526929363012,16467.89801687174,7140.055292287387,684.6526929363012,6035.919886379594,4036.729455523244,265.12496499873134,536.1272970138825,149.18637916493932,703.8915339368486,152.2155588912244,2.9561459905479874,11725.802087260114,484548.80126846896,42921895,96997.38272473395,1309304826679.1257,1384722333058.7778,107581,105495.9,69301.3,28486.86,36790.5,319168.7,347655.56,99.38
ESP,2005,91970112720.71918,26364.074988789405,12096.454013507453,4852.982941808574,9414.638033473377,773.5729434740065,17877.669446249427,7712.832599065972,773.5729434740065,6793.4869455683565,4463.05717033148,285.49894118317667,624.8049353703744,169.73211676540694,794.6980746552688,162.44243928822357,5.27375752610516,12291.507664627006,520147.63931993576,43653155,101341.79774741155,1358050268792.2139,1436275570283.1597,116404,109248.9,70777.3,29103.27,37155.1,333585.3,362688.57,102.06
ESP,2006,101592386252.987,24970.67676288586,11625.663357617595,4802.783735293718,8542.229669974546,748.0086196360958,16987.772630379895,7234.895512869871,748.0086196360958,6643.404316542412,4298.224608210429,287.5849921600663,597.7031235394509,170.47932930456224,830.0443063133588,155.87640598768044,4.0288258926412555,11235.322235299163,507651.7148492576,44397319,107661.58343309035,1414736959945.1086,1496227481883.2349,110452,113104.5,63550.6,28613.7,37735.4,324842.5,353456.2,99.35
ESP,2007,120149699210.2939,27143.141349980222,12739.321418075802,5092.702361322489,9311.117570581935,803.5712941024352,18418.90858307384,7920.661472803949,803.5712941024352,7232.3017679934,4676.484978575598,308.2535788382984,652.1791646029271,201.04032930133278,913.9090606227418,162.59339796884677,3.154424792675915,12189.653353181966,521757.20733812905,45226803,123222.67742992673,1468058288554.6165,1552620182077.6,118428,116086.4,67566.4,29009.49,35722.5,337803.3,366812.79,101.75
ESP,2008,140851195325.57364,27582.125518685196,12339.338140467953,5561.686045064687,9681.101333152561,805.8596300445797,18980.987217891412,7795.278670749204,805.8596300445797,7804.007493251257,4781.081761007939,333.5014572119383,607.9993634205623,170.21209525231765,909.0683229360112,162.52733614188924,2.2604093331088895,12005.607650085592,487855.8051833209,45954106,141433.2999016529,1484466583143.3694,1569973613838.8518,102676,109862.4,63442.2,25618.17,33585.4,309566,335184.17,98
ESP,2009,140029051145.12595,26391.050815451665,11853.242289129124,5724.666716028976,8813.14181029356,773.7207607887359,18796.068168547055,6821.261886115872,773.7207607887359,7867.889036692514,4520.766155187217,333.0215769679618,619.1690942440566,238.1475994759656,988.8886713546779,175.68351629059413,1.5096571192199337,10872.25474733072,420633.72610384016,46362946,140253.56022138748,1431415437122.9412,1513866659070.2104,87470.7,101288.6,54292.7,20044.1,32844.3,275896.3,295940.39999999997,90.94
ESP,2010,133876845533.47119,24330.844711263213,11019.273085784867,4579.402236124265,8732.169389354085,718.864416745894,17003.793426553166,6608.186867964153,718.864416745894,7021.174283606066,4194.060613158151,307.4412476440707,504.04669514528155,141.554918897204,1041.621044708385,179.70144922117683,1.5072849599348057,10220.87275717705,414923.89976956457,46576897,133876.84580500764,1431616749640.2947,1514079567426.6326,71558.5,98381.6,56693.4,20112.81,35248,261881.5,281994.31,92.24
ESP,2011,140262730848.8032,22822.511048880573,10513.111045189416,4119.272671150746,8190.127332540406,680.5320793071392,15573.839103280523,6568.139866292911,680.5320793071392,6802.547205479945,3856.107472435354,276.6752349069772,511.2280215172076,130.8124069795315,909.4308833684128,157.34156273444634,4.290660469027546,9493.545521682532,402927.80647458986,46742697,140222.10805858896,1417318263210.383,1498957471269.1965,86224.6,91916.9,52188.2,19408.42,32741.4,263071.10000000003,282479.52,88.84
