Index,Country,CountryA3,Sub_sector,G19,EU,OECD, Entity,Sector,,,
112,Angola,AGO,Metals,0,0,0,Industries,Metal Products,,,
113,Angola,AGO,Machinery,0,0,0,Industries,Electrical and Machinery,,,
114,Angola,AGO,Machinery,0,0,0,Industries,Transport Equipment,,,
115,Angola,AGO,Other procurement,0,0,0,Industries,Other Manufacturing,,,
116,Angola,AGO,"Sanitation, waste, recycling",0,0,0,Industries,Recycling,,,
117,Angola,AGO,"Heating, water and electricity",0,0,0,Industries,"Electricity, Gas and Water",,,
118,Angola,AGO,Construction,0,0,0,Industries,Construction,,,
119,Angola,AGO,Other procurement,0,0,0,Industries,Maintenance and Repair,,,
120,Angola,AGO,Trade,0,0,0,Industries,Wholesale Trade,,,
121,Angola,AGO,Trade,0,0,0,Industries,Retail Trade,,,
122,Angola,AGO,Food and catering,0,0,0,Industries,Hotels and Restraurants,,,
123,Angola,AGO,Freight transport,0,0,0,Industries,Transport,,,
124,Angola,AGO,Information and Communication Technologies,0,0,0,Industries,Post and Telecommunications,,,
125,Angola,AGO,Business services,0,0,0,Industries,Finacial Intermediation and Business Activities,,,
126,Angola,AGO,Services,0,0,0,Industries,Public Administration,,,
127,Angola,AGO,Services,0,0,0,Industries,"Education, Health and Other Services",,,
128,Angola,AGO,Other procurement,0,0,0,Industries,Private Households,,,
129,Angola,AGO,Other procurement,0,0,0,Industries,Others,,,
130,Angola,AGO,Other procurement,0,0,0,Industries,Re-export & Re-import,,,
131,Antigua,ATG,Food and catering,0,0,0,Industries,Agriculture,,,
132,Antigua,ATG,Food and catering,0,0,0,Industries,Fishing,,,
133,Antigua,ATG,Mining,0,0,0,Industries,Mining and Quarrying,,,
134,Antigua,ATG,Food and catering,0,0,0,Industries,Food & Beverages,,,
135,Antigua,ATG,Clothing,0,0,0,Industries,Textiles and Wearing Apparel,,,
136,Antigua,ATG,Wood and paper,0,0,0,Industries,Wood and Paper,,,
137,Antigua,ATG,Manufactured fuels/gases,0,0,0,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products",,,
138,Antigua,ATG,Metals,0,0,0,Industries,Metal Products,,,
139,Antigua,ATG,Machinery,0,0,0,Industries,Electrical and Machinery,,,
140,Antigua,ATG,Machinery,0,0,0,Industries,Transport Equipment,,,
141,Antigua,ATG,Other procurement,0,0,0,Industries,Other Manufacturing,,,
142,Antigua,ATG,"Sanitation, waste, recycling",0,0,0,Industries,Recycling,,,
143,Antigua,ATG,"Heating, water and electricity",0,0,0,Industries,"Electricity, Gas and Water",,,
144,Antigua,ATG,Construction,0,0,0,Industries,Construction,,,
145,Antigua,ATG,Other procurement,0,0,0,Industries,Maintenance and Repair,,,
146,Antigua,ATG,Trade,0,0,0,Industries,Wholesale Trade,,,
147,Antigua,ATG,Trade,0,0,0,Industries,Retail Trade,,,
148,Antigua,ATG,Food and catering,0,0,0,Industries,Hotels and Restraurants,,,
149,Antigua,ATG,Freight transport,0,0,0,Industries,Transport,,,
150,Antigua,ATG,Information and Communication Technologies,0,0,0,Industries,Post and Telecommunications,,,
151,Antigua,ATG,Business services,0,0,0,Industries,Finacial Intermediation and Business Activities,,,
152,Antigua,ATG,Services,0,0,0,Industries,Public Administration,,,
153,Antigua,ATG,Services,0,0,0,Industries,"Education, Health and Other Services",,,
154,Antigua,ATG,Other procurement,0,0,0,Industries,Private Households,,,
155,Antigua,ATG,Other procurement,0,0,0,Industries,Others,,,
156,Antigua,ATG,Other procurement,0,0,0,Industries,Re-export & Re-import,,,
157,Argentina,ARG,Food and catering,1,0,0,Industries,"Cereals, oilseeds and forage",,,
158,Argentina,ARG,Food and catering,1,0,0,Industries,"Growing of vegetables, legumes, flowers and ornamental plants",,,
159,Argentina,ARG,Food and catering,1,0,0,Industries,Growing fruits and nuts,,,
160,Argentina,ARG,Food and catering,1,0,0,Industries,Industrial crops,,,
161,Argentina,ARG,Food and catering,1,0,0,Industries,Seed production,,,
162,Argentina,ARG,Food and catering,1,0,0,Industries,"Livestock and milk production, wool and hair",,,
163,Argentina,ARG,Food and catering,1,0,0,Industries,Farm Production,,,
164,Argentina,ARG,Food and catering,1,0,0,Industries,Agricultural services,,,
165,Argentina,ARG,Food and catering,1,0,0,Industries,Hunting,,,
166,Argentina,ARG,Wood and paper,1,0,0,Industries,Forestry and logging,,,
167,Argentina,ARG,Food and catering,1,0,0,Industries,Fishing,,,
168,Argentina,ARG,Fossil fuel extraction,1,0,0,Industries,"Extraction of petroleum, gas, coal and uranium",,,
169,Argentina,ARG,Mining,1,0,0,Industries,Mining of metal ores,,,
170,Argentina,ARG,Mining,1,0,0,Industries,Other mining,,,
171,Argentina,ARG,Food and catering,1,0,0,Industries,"Killing of animals, conservation and meat processing",,,
172,Argentina,ARG,Food and catering,1,0,0,Industries,Processing and preserving of fish and fish products,,,
173,Argentina,ARG,Food and catering,1,0,0,Industries,Processing and preserving of fruits and vegetables,,,
174,Argentina,ARG,Food and catering,1,0,0,Industries,Oils and oilseeds products,,,
