LOCATION,Sector
BTN,"Petroleum, Chemical and non-Metallic Mineral Products"
BTN,Metal Products
BTN,Electrical and Machinery
BTN,Transport Equipment
BTN,Other Manufacturing
BTN,Recycling
BTN,"Electricity, Gas and Water"
BTN,Construction
BTN,Maintenance and Repair
BTN,Wholesale Trade
BTN,Retail Trade
BTN,Hotels and Restraurants
BTN,Transport
BTN,Post and Telecommunications
BTN,Finacial Intermediation and Business Activities
BTN,Public Administration
BTN,"Education, Health and Other Services"
BTN,Private Households
BTN,Others
BTN,Re-export & Re-import
BOL,Agriculture
BOL,Fishing
BOL,Mining and Quarrying
BOL,Food & Beverages
BOL,Textiles and Wearing Apparel
BOL,Wood and Paper
BOL,"Petroleum, Chemical and non-Metallic Mineral Products"
BOL,Metal Products
BOL,Electrical and Machinery
BOL,Transport Equipment
BOL,Other Manufacturing
BOL,Recycling
BOL,"Electricity, Gas and Water"
BOL,Construction
BOL,Maintenance and Repair
BOL,Wholesale Trade
BOL,Retail Trade
BOL,Hotels and Restraurants
BOL,Transport
BOL,Post and Telecommunications
BOL,Finacial Intermediation and Business Activities
BOL,Public Administration
BOL,"Education, Health and Other Services"
BOL,Private Households
BOL,Others
BOL,Re-export & Re-import
BIH,Agriculture
BIH,Fishing
BIH,Mining and Quarrying
BIH,Food & Beverages
BIH,Textiles and Wearing Apparel
BIH,Wood and Paper
BIH,"Petroleum, Chemical and non-Metallic Mineral Products"
BIH,Metal Products
BIH,Electrical and Machinery
BIH,Transport Equipment
BIH,Other Manufacturing
BIH,Recycling
BIH,"Electricity, Gas and Water"
BIH,Construction
BIH,Maintenance and Repair
BIH,Wholesale Trade
BIH,Retail Trade
BIH,Hotels and Restraurants
BIH,Transport
BIH,Post and Telecommunications
BIH,Finacial Intermediation and Business Activities
BIH,Public Administration
BIH,"Education, Health and Other Services"
BIH,Private Households
BIH,Others
BIH,Re-export & Re-import
BWA,Agriculture
BWA,Fishing
BWA,Mining and Quarrying
BWA,Food & Beverages
BWA,Textiles and Wearing Apparel
BWA,Wood and Paper
BWA,"Petroleum, Chemical and non-Metallic Mineral Products"
BWA,Metal Products
BWA,Electrical and Machinery
BWA,Transport Equipment
BWA,Other Manufacturing
BWA,Recycling
BWA,"Electricity, Gas and Water"
BWA,Construction
BWA,Maintenance and Repair
BWA,Wholesale Trade
BWA,Retail Trade
BWA,Hotels and Restraurants
BWA,Transport
BWA,Post and Telecommunications
BWA,Finacial Intermediation and Business Activities
BWA,Public Administration
BWA,"Education, Health and Other Services"
BWA,Private Households
BWA,Others
BWA,Re-export & Re-import
BRA,Agriculture
BRA,Fishing
BRA,Mining and Quarrying
BRA,Food & Beverages
BRA,Textiles and Wearing Apparel
BRA,Wood and Paper
BRA,"Petroleum, Chemical and non-Metallic Mineral Products"
BRA,Metal Products
BRA,Electrical and Machinery
BRA,Transport Equipment
BRA,Other Manufacturing
BRA,Recycling
BRA,"Electricity, Gas and Water"
BRA,Construction
BRA,Maintenance and Repair
BRA,Wholesale Trade
BRA,Retail Trade
BRA,Hotels and Restraurants
BRA,Transport
BRA,Post and Telecommunications
BRA,Finacial Intermediation and Business Activities
BRA,Public Administration
BRA,"Education, Health and Other Services"
BRA,Private Households
BRA,Others
BRA,Re-export & Re-import
VGB,Agriculture
VGB,Fishing
VGB,Mining and Quarrying
VGB,Food & Beverages
VGB,Textiles and Wearing Apparel
VGB,Wood and Paper
VGB,"Petroleum, Chemical and non-Metallic Mineral Products"
VGB,Metal Products
VGB,Electrical and Machinery
VGB,Transport Equipment
VGB,Other Manufacturing
VGB,Recycling
VGB,"Electricity, Gas and Water"
VGB,Construction
VGB,Maintenance and Repair
VGB,Wholesale Trade
VGB,Retail Trade
VGB,Hotels and Restraurants
VGB,Transport
VGB,Post and Telecommunications
VGB,Finacial Intermediation and Business Activities
VGB,Public Administration
VGB,"Education, Health and Other Services"
VGB,Private Households
VGB,Others
VGB,Re-export & Re-import
BRN,Agriculture
BRN,Fishing
BRN,Mining and Quarrying
BRN,Food & Beverages
BRN,Textiles and Wearing Apparel
BRN,Wood and Paper
BRN,"Petroleum, Chemical and non-Metallic Mineral Products"
BRN,Metal Products
BRN,Electrical and Machinery
BRN,Transport Equipment
BRN,Other Manufacturing
BRN,Recycling
BRN,"Electricity, Gas and Water"
BRN,Construction
BRN,Maintenance and Repair
BRN,Wholesale Trade
BRN,Retail Trade
BRN,Hotels and Restraurants
BRN,Transport
BRN,Post and Telecommunications
BRN,Finacial Intermediation and Business Activities
BRN,Public Administration
BRN,"Education, Health and Other Services"
BRN,Private Households
BRN,Others
BRN,Re-export & Re-import
BGR,Agriculture
BGR,Fishing
BGR,Mining and Quarrying
BGR,Food & Beverages
BGR,Textiles and Wearing Apparel
BGR,Wood and Paper
BGR,"Petroleum, Chemical and non-Metallic Mineral Products"
BGR,Metal Products
BGR,Electrical and Machinery
BGR,Transport Equipment
BGR,Other Manufacturing
BGR,Recycling
BGR,"Electricity, Gas and Water"
BGR,Construction
BGR,Maintenance and Repair
BGR,Wholesale Trade
BGR,Retail Trade
BGR,Hotels and Restraurants
BGR,Transport
BGR,Post and Telecommunications
BGR,Finacial Intermediation and Business Activities
BGR,Public Administration
BGR,"Education, Health and Other Services"
BGR,Private Households
BGR,Others
BGR,Re-export & Re-import
BFA,Agriculture
BFA,Fishing
BFA,Mining and Quarrying
BFA,Food & Beverages
BFA,Textiles and Wearing Apparel
BFA,Wood and Paper
BFA,"Petroleum, Chemical and non-Metallic Mineral Products"
BFA,Metal Products
BFA,Electrical and Machinery
BFA,Transport Equipment
BFA,Other Manufacturing
BFA,Recycling
BFA,"Electricity, Gas and Water"
BFA,Construction
BFA,Maintenance and Repair
BFA,Wholesale Trade
BFA,Retail Trade
BFA,Hotels and Restraurants
BFA,Transport
BFA,Post and Telecommunications
BFA,Finacial Intermediation and Business Activities
BFA,Public Administration
BFA,"Education, Health and Other Services"
BFA,Private Households
BFA,Others
BFA,Re-export & Re-import
BDI,Agriculture
BDI,Fishing
BDI,Mining and Quarrying
BDI,Food & Beverages
BDI,Textiles and Wearing Apparel
BDI,Wood and Paper
BDI,"Petroleum, Chemical and non-Metallic Mineral Products"
BDI,Metal Products
BDI,Electrical and Machinery
BDI,Transport Equipment
BDI,Other Manufacturing
BDI,Recycling
BDI,"Electricity, Gas and Water"
BDI,Construction
BDI,Maintenance and Repair
BDI,Wholesale Trade
BDI,Retail Trade
BDI,Hotels and Restraurants
BDI,Transport
BDI,Post and Telecommunications
BDI,Finacial Intermediation and Business Activities
BDI,Public Administration
BDI,"Education, Health and Other Services"
BDI,Private Households
BDI,Others
BDI,Re-export & Re-import
KHM,Agriculture
KHM,Fishing
KHM,Mining and Quarrying
KHM,Food & Beverages
KHM,Textiles and Wearing Apparel
KHM,Wood and Paper
KHM,"Petroleum, Chemical and non-Metallic Mineral Products"
KHM,Metal Products
KHM,Electrical and Machinery
KHM,Transport Equipment
KHM,Other Manufacturing
KHM,Recycling
KHM,"Electricity, Gas and Water"
KHM,Construction
KHM,Maintenance and Repair
KHM,Wholesale Trade
KHM,Retail Trade
KHM,Hotels and Restraurants
KHM,Transport
KHM,Post and Telecommunications
KHM,Finacial Intermediation and Business Activities
KHM,Public Administration
KHM,"Education, Health and Other Services"
KHM,Private Households
