Index,Country,CountryA3, Entity,Sector
378,"Argentina",ARG,Commodities,"Prefabricated Buildings"
379,"Argentina",ARG,Commodities,"Other manufactured nec"
380,"Argentina",ARG,Commodities,"Residues from the food industry and snuff"
381,"Argentina",ARG,Commodities,"Non-metal waste or scrap"
382,"Argentina",ARG,Commodities,"Waste and scrap metal"
383,"Argentina",ARG,Commodities,"Iron and steel joint"
384,"Argentina",ARG,Commodities,"Rolled, stretched or bent iron or steel"
385,"Argentina",ARG,Commodities,"Common precious metals and metals clad with precious metal, copper, nickel, aluminum, alumina, lead, zinc and tin, raw, semi-finished products or their alloys, other nonferrous metals and articles thereof"
386,"Argentina",ARG,Commodities,"Structural metal products and parts"
387,"Argentina",ARG,Commodities,"Tanks, reservoirs and containers of iron, steel or aluminum"
388,"Argentina",ARG,Commodities,"Steam generators, water (except hot water boilers for central heating) and parts thereof"
389,"Argentina",ARG,Commodities,"Other fabricated metal products"
390,"Argentina",ARG,Commodities,"Engines and turbines and parts thereof"
391,"Argentina",ARG,Commodities,"Pumps, compressors, engines, water power and pneumatic power engines and valves and parts thereof"
392,"Argentina",ARG,Commodities,"Bearings, gears, gear and transmission components and parts thereof"
393,"Argentina",ARG,Commodities,"Ovens and burners to power homes and parts thereof"
394,"Argentina",ARG,Commodities,"Lifting and handling equipment and parts thereof"
395,"Argentina",ARG,Commodities,"Other general purpose machinery and parts thereof"
396,"Argentina",ARG,Commodities,"Agricultural and forestry machinery and parts thereof"
397,"Argentina",ARG,Commodities,"Machine tools and parts and accessories"
398,"Argentina",ARG,Commodities,"Machinery for metallurgy and parts thereof"
399,"Argentina",ARG,Commodities,"Machinery for mining, quarrying and construction, and parts thereof"
400,"Argentina",ARG,Commodities,"Machinery for food, beverages and snuff and parts thereof"
401,"Argentina",ARG,Commodities,"Machinery for the manufacture of textiles, clothing and leather goods and parts thereof"
402,"Argentina",ARG,Commodities,"Arms and ammunition and parts thereof"
403,"Argentina",ARG,Commodities,"Household appliances and parts thereof"
404,"Argentina",ARG,Commodities,"Other special purpose machinery and parts thereof"
405,"Argentina",ARG,Commodities,"Office machines, accounting and related parts and accessories"
406,"Argentina",ARG,Commodities,"Used computers and parts and accessories"
407,"Argentina",ARG,Commodities,"Motors, generators and transformers and their parts and pieces"
408,"Argentina",ARG,Commodities,"Electrical control devices and distribution of electricity and parts thereof"
409,"Argentina",ARG,Commodities,"Insulated wire and cable, optical fiber cables"
410,"Argentina",ARG,Commodities,"Accumulators and primary batteries and parts thereof"
411,"Argentina",ARG,Commodities,"Incandescent electric lamps or discharge, arc lamps, electric lighting equipment, and parts and pieces"
